volume_id,dice_Necrosis_unet,iou_Necrosis_unet,dice_Edema_unet,iou_Edema_unet,dice_Enhancing_unet,iou_Enhancing_unet,dice_FG_mean_unet,iou_FG_mean_unet,dice_Necrosis_encdec,iou_Necrosis_encdec,dice_Edema_encdec,iou_Edema_encdec,dice_Enhancing_encdec,iou_Enhancing_encdec,dice_FG_mean_encdec,iou_FG_mean_encdec
volume_230,0.771441627564884,0.7485276027031517,0.6891594055215923,0.6596999434077385,0.8913437077962624,0.881589133350868,0.7839815802942462,0.7632722264872527,0.6970650886842225,0.6938645608370753,0.7233092945711216,0.6828472696047945,0.8702135437965729,0.8508378886126522,0.7635293090173058,0.742516573018174
volume_232,0.5826783958284563,0.5582301828039435,0.6653612359515942,0.6069624924550935,0.5457034056236416,0.5135554231952607,0.5979143458012307,0.5595826994847659,0.6955595367282429,0.690165675897533,0.6871278611631685,0.6250006823914331,0.6654759632652536,0.6321581107775247,0.682721120385555,0.649108156355497
volume_234,0.7238735962432801,0.6788678608634985,0.48142682697367084,0.4118570438070915,0.6258516325663251,0.5881974954427284,0.6103840185944254,0.5596408000377727,0.8240847723216096,0.7823737202252382,0.5978227118109422,0.5312178773748808,0.6467737086762728,0.612036598268608,0.6895603976029415,0.6418760652895756
volume_238,0.5211581415615816,0.5006054411303109,0.4692508424329592,0.4135161757242645,0.5767819053247836,0.5256867209785775,0.5223969631064415,0.47993611261105096,0.6637468645762462,0.62755712306908,0.5446259816299621,0.4841191434794296,0.640017800277631,0.5911273578847898,0.6161302154946132,0.5676012081444332
volume_240,0.6654657836180996,0.6233970226263197,0.6301310147674591,0.5694177078708889,0.5884818318711503,0.5457147086236782,0.6280262100855697,0.5795098130402956,0.6684516449765474,0.6361158645148869,0.6666170949469242,0.6041399221467565,0.6776191457848939,0.6423818963450013,0.6708959619027884,0.6275458943355482
volume_250,0.4973711645363056,0.497078935667774,0.5599352667621675,0.5123066856626216,0.43521516232885665,0.4167565410562534,0.49750719787577663,0.4753807207955496,0.8129032542883153,0.8129032542883153,0.6400400728086155,0.5939897760211249,0.7584117850529885,0.7405975225969658,0.7371183707166398,0.7158301843021354
volume_251,0.7460444497885601,0.7196730443306247,0.6441794293379943,0.6086636940394309,0.7943965739667197,0.776582133271406,0.7282068176977581,0.7016396238804872,0.7005478545769217,0.6806896233074292,0.7126716459913176,0.673139285887477,0.8089890077592784,0.7823489153368578,0.7407361694425059,0.7120592748439213
volume_256,0.5249321922604162,0.4800156467562642,0.40323257654604727,0.3434877322161611,0.5675423713661737,0.5127113761330234,0.4985690467242124,0.4454049183684829,0.6431429217781681,0.5953956146456362,0.4191297928853602,0.3628228910650944,0.6141408805542018,0.5610431551260601,0.5588045317392434,0.5064205536122636
volume_26,0.7196128487463299,0.6922148241415913,0.5700319474875107,0.5234166861281171,0.718402250462487,0.6812432039234136,0.6693490155654426,0.6322915713977073,0.7233916083289166,0.7070629832052941,0.6005378940719732,0.5475688715174621,0.7578809505233796,0.7280113404078317,0.6939368176414231,0.6608810650435294
volume_279,0.4829976922258597,0.4287322000465887,0.3337707925138817,0.2716696357995311,0.17419358412082228,0.17419358412082228,0.3303206896201879,0.2915318066556474,0.6655155054643549,0.6120901141147623,0.3941731692215738,0.3444339444309944,0.5677419966261259,0.5677419966261259,0.5424768904373515,0.5080886850572942
